Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,class_label,subtype
6,702404,5,10,93.0,6067.0,93.0,0.0,18.6,41.59086438149609,1320.0,0.0,606.6999999999999,636.3384930819271,8769.881720491341,21.35523146223541,50171.71428571429,165914.51741156375,624577.0,0.0,697471.0,174367.75,301072.0132674518,624577.0,7405.0,24144.0,2682.666666666667,3844.4419621058137,11434.0,0.0,0,100,224,7.118410487411802,14.236820974823605,0.0,1320.0,385.0,575.1659470680324,330815.86666666664,0,1,0,0,2.0,410.6666666666667,18.6,606.7,5,93,10,6067,83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,1931840,8,13,308.0,6755.0,228.0,0.0,38.5,81.52650752099852,1220.0,0.0,519.6153846153845,575.1396263026829,3656.099884048369,10.8704654629783,96592.0,393130.8642550146,1765596.0,0.0,1909107.0,272729.5714285714,658805.9759870775,1765596.0,269.0,116635.0,9719.583333333332,14394.583277041991,44639.0,0.0,0,160,284,4.141129700182209,6.729335762796091,0.0,1220.0,321.04545454545445,500.9642585172003,250965.18831168825,0,1,0,0,1.0,336.3333333333333,38.5,519.6153846153846,8,308,13,6755,166,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,702126,5,8,93.0,4381.0,93.0,0.0,18.6,41.59086438149609,1220.0,0.0,547.625,579.0371163775749,6372.075667330365,18.515195278340357,58510.5,178869.25012650495,624665.0,0.0,696965.0,174241.25,301164.77467810985,624665.0,7474.0,25962.0,3708.857142857143,4985.864366004202,12928.0,0.0,0,100,184,7.121228953207829,11.393966325132526,0.0,1220.0,319.57142857142856,505.7378028926899,255770.72527472524,0,1,0,0,1.0,344.15384615384613,18.6,547.625,5,93,8,4381,166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,701860,5,9,93.0,4381.0,93.0,0.0,18.6,41.59086438149609,1220.0,0.0,486.77777777777766,571.5723440164372,6374.490639158807,19.94699797680449,53989.230769230766,172043.83466777386,624718.0,0.0,697061.0,174265.25,301138.29057912354,624718.0,7436.0,25629.0,3203.625,4725.1766690327495,13529.0,0.0,0,100,204,7.123927848858746,12.823070127945744,0.0,1220.0,298.26666666666665,494.27702855016537,244309.78095238097,0,1,0,0,1.0,319.57142857142856,18.6,486.77777777777777,5,93,9,4381,166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,43251,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.48341078818989,14417.0,13333.606151375554,26468.0,93.0,16690.0,16690.0,0.0,16690.0,16690.0,26468.0,26468.0,0.0,26468.0,26468.0,0,40,64,46.241705394094936,46.241705394094936,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,0.0,2,0,2,0,42300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,799618,4,4,304.0,148.0,304.0,0.0,76.0,152.0,148.0,0.0,37.0,74.0,565.2699163850739,10.00477728115175,114231.14285714286,227188.9111396274,624985.0,99.0,733852.0,244617.3333333333,333813.6611259841,624985.0,379.0,133060.0,44353.33333333333,37797.03113120571,66680.0,713.0,0,80,104,5.002388640575875,5.002388640575875,0.0,304.0,50.22222222222222,107.0160943243793,11452.444444444443,0,1,0,0,1.0,56.5,76.0,37.0,4,304,4,148,501,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,651330,11,48,3578.0,6342.0,1320.0,0.0,325.27272727272725,542.6839026374545,1220.0,0.0,132.12500000000003,345.7851765155244,15230.374771621146,90.58388221024671,11229.827586206897,75933.70469245281,579062.0,0.0,645662.0,64566.2,181052.3523378436,579062.0,37.0,72043.0,1532.829787234043,3651.243167203461,19512.0,0.0,0,232,1008,16.8885204120799,73.69536179816683,0.0,1320.0,165.3333333333334,388.9660639053959,151294.59887005648,0,1,0,0,4.0,168.135593220339,325.27272727272725,132.125,11,3578,48,6342,502,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,94431,10,15,476.0,7206.0,289.0,0.0,47.6,90.9116787510457,1320.0,0.0,480.4,569.3568802981634,81350.40399868687,264.74356937869976,3934.625000000001,11288.18536967822,43732.0,0.0,91203.0,10133.666666666668,17458.362680961807,43732.0,58.0,50665.0,3618.928571428572,10619.908875925774,40236.0,0.0,0,200,324,105.89742775147992,158.84614162721988,0.0,1320.0,295.46153846153845,482.8005990691586,233096.41846153847,0,1,0,0,1.0,307.28,47.6,480.4,10,476,15,7206,42,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,1933614,8,14,203.0,6322.0,92.0,0.0,25.375,39.04919058974572,1220.0,0.0,451.57142857142856,549.9820576493962,3374.5101142213493,11.37765862266202,92076.85714285714,387661.4073545736,1782545.0,0.0,1913493.0,273356.14285714284,696579.9841490875,1852924.0,146.0,151069.0,11620.692307692309,19626.173210726432,70454.0,0.0,0,160,304,4.137330408240735,7.240328214421286,0.0,1220.0,283.6956521739131,474.4273519233103,225081.31225296448,0,1,0,0,1.0,296.59090909090907,25.375,451.57142857142856,8,203,14,6322,166,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,767483,11,17,765.0,3632.0,385.0,0.0,69.54545454545455,120.7198108318296,1220.0,0.0,213.6470588235294,345.6580574021945,5729.117127024312,36.482892780687,28425.296296296296,100115.27472784516,523721.0,0.0,762732.0,76273.20000000001,159005.6507561917,523721.0,227.0,691843.0,43240.18749999999,130352.09752421516,528986.0,0.0,0,220,364,14.332565020984177,22.15032775970282,0.0,1220.0,151.6206896551724,281.5706475409861,79282.02955665023,0,1,0,0,1.0,157.03571428571428,69.54545454545455,213.64705882352945,11,765,17,3632,166,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
